ingredient_id,ingredient_name
1,sausage
2,celery
3,garlic
4,olive
5,onion
6,parsley
7,ribs
8,egg
9,clove
10,butter
11,chicken
12,turkey
13,cinnamon
14,potato
15,bacon
16,water
17,sour cream
18,apple
19,squash
20,carrot
21,rice
22,pepper
23,bell pepper
24,tomato
25,shrimp
26,cumin
27,milk
28,coconut
29,sugar
30,kombu
31,dashima
32,mushroom
33,peach
34,lemon
35,vodka
36,muffin
37,cornmeal
38,liqueur
39,gin
40,orange
41,bourbon
42,cherry
43,whiskey
44,vermouth
45,rye
46,yeast
47,peanut
48,vanilla
49,banana
50,cheddar
51,chive
52,wine
53,white wine
54,anchovy
55,parmesan
56,zucchini
57,vinegar
58,tofu
59,ginger
60,radish
61,scallion
62,soy
63,sauce
64,noodle
65,soy sauce
66,capers
67,molasses
68,walnut
69,pomegranate
70,paprika
71,chile
72,curry
73,shallot
74,chili
75,nut
76,sesame
77,rosemary
78,lamb
79,date
80,cilantro
81,kumquat
82,nutmeg
83,spinach
84,brussels sprout
85,sage
86,dill
87,oregano
88,fennel
89,cheese
90,honey
91,mustard
92,radicchio
93,lettuce
94,ricotta
95,chickpea
96,thyme
97,mozzarella
98,basil
99,yogurt
100,mint
101,arugula
102,feta
103,pork
104,pea
105,tarragon
106,pumpkin
107,beef
108,oat
109,sunflower seed
110,buttermilk
111,quinoa
112,whole wheat
113,avocado
114,salsa
115,lime
116,bread
117,fontina
118,truffle
119,brandy
120,ice cream
121,kirsch
122,bean
123,lemongrass
124,sweet potato
125,coriander
126,chocolate
127,hazelnut
128,fish
129,corn
130,almond
131,pear
132,cake
133,pie
134,barley
135,eggplant
136,peanut butter
137,plum
138,pasta
139,pine nut
140,watermelon
141,coffee
142,cucumber
143,rhubarb
144,maple syrup
145,swiss cheese
146,pastry
147,leek
148,sugar snap pea
149,turnip
150,parsnip
151,sandwich
152,lobster
153,tea
154,raspberry
155,grape
156,pizza
157,broccoli
158,pistachio
159,cauliflower
160,currant
161,apricot
162,raisin
163,turmeric
164,cardamom
165,mayonnaise
166,cod
167,salmon
168,champagne
169,kale
170,pickle
171,cookie
172,cream cheese
173,fig
174,goat cheese
175,chard
176,oyster
177,cabbage
178,blue cheese
179,pecan
180,anise
181,horseradish
182,endive
183,cranberry
184,ham
185,quark
186,rum
187,saffron
188,duck
189,scallop
190,veal
191,cashew
192,tapioca
193,skim milk
194,mussel
195,melon
196,kohlrabi
197,prosciutto
198,wakame
199,candy
200,steak
201,rutabaga
202,lentil
203,bonito
204,clam
205,hummus
206,asparagus
207,tortillas
208,marshmallow
209,squid
210,swordfish
211,watercress
212,couscous
213,jam
214,tequila
215,hot pepper
216,cantaloupe
217,gelatin
218,sorbet
219,club soda
220,edible flower
221,nectarine
222,macadamia nut
223,pineapple
224,marzipan
225,grapefruit
226,strawberry
227,pesto
228,tomatillo
229,halibut
230,blood orange
231,prosecco
232,passion fruit
233,taco
234,mango
235,prune
236,snapper
237,chestnut
238,biscuit
239,pancake
240,seaweed
241,trout
242,rose petal
243,tilapia
244,tuna
245,persimmon
246,beer
247,jerusalem artichoke
248,crab
249,tamarind
250,wild rice
251,blackberry
252,bulgur
253,tangerine
254,wasabi
255,guava
256,quince
257,papaya
258,okra
259,gouda
260,citrus
261,kiwi
262,lemonade
263,cottage cheese
264,blueberry
265,quail
266,caviar
267,berry
268,plantain
269,yuca
270,venison
271,goose
